"Band","Average - Apollo14"
1.0,0.12352900207043
2.0,0.23445180058479
3.0,0.35621392726898
4.0,0.0
5.0,1.0
6.0,2.5653116703033
7.0,0.06647927314043
8.0,23.656600952148
9.0,0.0
10.0,0.15447670221329
11.0,0.24536082148552
12.0,0.24616135656834
13.0,0.0
14.0,1.0
15.0,2.4510776996613
16.0,0.057575657963753
17.0,23.656600952148
18.0,0.0
19.0,0.17780664563179
20.0,0.23809166252613
21.0,0.31893926858902
22.0,0.0
23.0,1.0
24.0,2.1959569454193
25.0,0.063374802470207
26.0,23.656600952148
27.0,0.0
28.0,0.2662832736969
29.0,0.24736726284027
30.0,0.22647696733475
31.0,0.0
32.0,1.0
33.0,1.8885897397995
34.0,0.058721765875816
35.0,23.656600952148
36.0,0.0
37.0,0.29027551412582
38.0,0.24421434104443
39.0,0.25748857855797
40.0,0.0
41.0,1.0
42.0,1.8408141136169
43.0,0.056185439229012
44.0,23.656600952148
45.0,0.0
46.0,0.31179711222649
47.0,0.24209332466125
48.0,0.27859497070312
49.0,0.0
50.0,1.0
51.0,1.7923967838287
52.0,0.054815482348204
53.0,23.656600952148
54.0,0.0
55.0,0.33753547072411
56.0,0.24372747540474
57.0,0.26231616735458
58.0,0.0
59.0,1.0
60.0,1.7305648326874
61.0,0.055810816586018
62.0,23.656600952148
63.0,0.0
