"Band","Average - Apollo11"
1.0,0.099217876791954
2.0,0.23564361035824
3.0,0.34394946694374
4.0,0.0
5.0,1.0
6.0,2.7281501293182
7.0,0.072625644505024
8.0,23.656600952148
9.0,0.0
10.0,0.11172998696566
11.0,0.23285622894764
12.0,0.37272241711617
13.0,0.0
14.0,1.0
15.0,2.5328929424286
16.0,0.075598306953907
17.0,23.656600952148
18.0,0.0
19.0,0.13373932242393
20.0,0.24600884318352
21.0,0.23978443443775
22.0,0.0
23.0,1.0
24.0,2.463716506958
25.0,0.065572082996368
26.0,23.656600952148
27.0,0.0
28.0,0.1878666728735
29.0,0.25449723005295
30.0,0.15799617767334
31.0,0.0
32.0,1.0
33.0,2.1340200901031
34.0,0.06234934926033
35.0,23.656600952148
36.0,0.0
37.0,0.21017315983772
38.0,0.25459924340248
39.0,0.15703321993351
40.0,0.0
41.0,1.0
42.0,2.0490288734436
43.0,0.058918919414282
44.0,23.656600952148
45.0,0.0
46.0,0.22244161367416
47.0,0.25428703427315
48.0,0.1599817276001
49.0,0.0
50.0,1.0
51.0,1.9932867288589
52.0,0.059709623456001
53.0,23.656600952148
54.0,0.0
55.0,0.24498665332794
56.0,0.25755101442337
57.0,0.12938347458839
58.0,0.0
59.0,1.0
60.0,1.9383826255798
61.0,0.056928135454655
62.0,23.656600952148
63.0,0.0
